obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
lubelskie,"Lublin, lubelskie",599000,,7488,3
lubelskie,"Świdnik, lubelskie",779000,,7082,4
lubelskie,"Kurów, lubelskie",890000,,5235,5
lubelskie,"Porosiuki, lubelskie",380000,,4691,3
lubelskie,"Sworska 2, Biała Podlaska, lubelskie",599000,,4279,4
lubelskie,"ul. Królewska, Dęblin, lubelskie",850000,,3408,9
lubelskie,"Chełm, lubelskie",359000,,1122,5
lubelskie,"Wojszyn, lubelskie",929000,,2987,10+
lubelskie,"Lublin, Sławin",1150000,,5867,5
lubelskie,"Lublin, Węglin, ul. Czesława Szczepańskiego 15",2360000,,9793,5
lubelskie,"Wirkowice Pierwsze, lubelskie",79000,,1881,1
lubelskie,"Krasne, lubelskie",275000,,4583,5
lubelskie,"Siekierzyńce, lubelskie",109000,,1912,1
lubelskie,"Wola Tulnicka, lubelskie",360000,,5143,3
lubelskie,"Nałęczów, lubelskie",14000,,14000,3
lubelskie,"Czerwonka-Gozdów, lubelskie",429000,,5363,2
lubelskie,"Niemce, lubelskie",899000,,3706,6
lubelskie,"ul. gen. Ludwika Kmicic-Skrzyńskiego, Chełm, lubelskie",615000,,4301,6
lubelskie,"Kodeń, lubelskie",219000,,2712,3
lubelskie,"Świdnik, lubelskie",479000,,7484,3
lubelskie,"Lublin, lubelskie",579000,,6417,4
lubelskie,"ul. Gospodarcza, Świdnik, lubelskie",749000,,8301,4
lubelskie,"Lublin, lubelskie",749000,,8301,4
lubelskie,"Lublin, Czechów",1490000,,6422,6
lubelskie,"Lublin, lubelskie",1998000,,9082,4
lubelskie,"Lublin, Dziesiąta, Dziesiąta",680000,,4722,5
lubelskie,"ul. Polna, Tomaszów Lubelski, lubelskie",890000,,4917,4
lubelskie,"Zamch, biłgorajski, lubelskie",235200,,2160,6
lubelskie,"ul. Władysława Reymonta, Tomaszów Lubelski, lubelskie",480000,,3000,6
lubelskie,"Kalinówka, lubelskie",699000,,4954,5
lubelskie,"Zagrody, lubelskie",690000,,8585,2
lubelskie,"Marysin, lubelskie",1330000,,6650,4
lubelskie,"Łączna, Chełm, lubelskie",360000,,4500,3
lubelskie,"Grabniak, lubelskie",109000,,3114,2
lubelskie,"Długie, lubelskie",1289000,,7255,5
lubelskie,"Kozubszczyzna, lubelskie",629000,,3311,6
lubelskie,"Zamojska, Hrubieszów, lubelskie",710000,,4733,6
lubelskie,"Piaski, lubelskie",620000,,3100,6
lubelskie,"Powstańców 1863 r., Nałęczów, lubelskie",2490000,,8490,6
lubelskie,"Łuków, lubelskie",649000,,5442,6
lubelskie,"Lublin, Sławin",830000,,6264,4
lubelskie,"Chełm, Dyrekcja",499000,,3992,4
lubelskie,"ul. Długa, Biłgoraj, lubelskie",315000,,5250,1
lubelskie,"Dratów-Kolonia, lubelskie",1399000,,5664,5
lubelskie,"Bychawa, lubelskie",530000,,4775,3
lubelskie,"Kalinówka, lubelskie",1050000,,8015,4
lubelskie,"Suchodoły, lubelskie",300000,,4167,2
lubelskie,"ul. Warszawska, Biała Podlaska, lubelskie",527000,,4216,4
lubelskie,"Nałęczów, puławski, lubelskie",980000,,8167,3
lubelskie,"ul. Drewniana, Świdnik, lubelskie",1590000,,6913,5
lubelskie,"ul. Waligóry, Włodawa, lubelskie",700000,,4375,5
lubelskie,"Lublin, lubelskie",1629000,,9873,4
lubelskie,"Lublin, Dziesiąta, ul. Wyzwolenia",719000,,7673,5
lubelskie,"Sumin, włodawski, lubelskie",227000,,7094,2
lubelskie,"Zakalinki, lubelskie",500000,,1976,10+
lubelskie,"Jabłonna Druga, lubelskie",599000,,5990,4
lubelskie,"Berylowa, Prawiedniki, lubelskie",749000,,4641,5
lubelskie,"ul. Majdan, Puławy, lubelskie",799000,,8878,4
lubelskie,"ul. Jana Kochanowskiego, Janowiec, lubelskie",850000,,5667,5
lubelskie,"Lublin, Ponikwoda, ul. Jacka Malczewskiego",1990000,,4866,8
lubelskie,"Lublin, Wola Sławińska",950000,,6250,4
