obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
podlaskie,"Sejny, podlaskie",560000,,5600,4
podlaskie,"ul. Adama Chętnika, Łomża, podlaskie",638000,,3544,4
podlaskie,"Ogrodniki, podlaskie",1400000,,4895,6
podlaskie,"Kulesze, podlaskie",399000,,4988,3
podlaskie,"Pogodna, Łomża, podlaskie",1780000,,4450,6
podlaskie,"Skrybicze, podlaskie",950000,,5744,5
podlaskie,"Trzcianne, podlaskie",380000,,4000,4
podlaskie,"Białystok, Bagnówka",1495000,,6229,5
podlaskie,"Wasilków, podlaskie",579000,,4262,4
podlaskie,"Białystok, Dojlidy Górne",1590000,,9695,5
podlaskie,"Zaboryszki, podlaskie",269000,,2234,6
podlaskie,"Ateny, podlaskie",1460000,,3650,10+
podlaskie,"św. Marka, Sowlany, podlaskie",555000,,3646,5
podlaskie,"Dąbrówki, białostocki, podlaskie",579000,,3955,5
podlaskie,"Bielsk Podlaski, podlaskie",880000,,2750,5
podlaskie,"Supraśl, podlaskie",1150000,,6053,5
podlaskie,"Dawidowicze, podlaskie",178000,,3560,2
podlaskie,"Dobrzyniówka, podlaskie",595000,,23800,2
podlaskie,"Kazańska, Łomża, podlaskie",684000,,3789,7
podlaskie,"Białystok, Jaroszówka",750000,,3363,4
podlaskie,"Białystok, Jaroszówka",1050000,,6287,6
podlaskie,"Kuriany, podlaskie",1130000,,5650,6
podlaskie,"Wasilków, białostocki, podlaskie",400000,,6349,2
podlaskie,"Różana, Jurowce, podlaskie",998900,,5448,6
podlaskie,"Rybniki, podlaskie",586000,,4827,5
podlaskie,"Suwałki, podlaskie",680000,,5313,4
podlaskie,"Załuki, podlaskie",399000,,11400,2
podlaskie,"Piątnica Poduchowna, podlaskie",1049000,,5828,6
podlaskie,"Białystok, Dojlidy Górne, ul. Halicka",620000,,4844,4
podlaskie,"Kruszewo, podlaskie",449000,,5102,3
podlaskie,"Supraśl, podlaskie",550000,,6111,4
podlaskie,"Wiejska, Jurowce, białostocki, podlaskie",850000,,4832,5
podlaskie,"Leman, podlaskie",395000,,2394,5
podlaskie,"Górna, Sokółka, podlaskie",285000,,2850,3
podlaskie,"Ignatki, podlaskie",595000,,3500,6
podlaskie,"ul. Kolejowa, Klepacze, podlaskie",489000,,4959,4
podlaskie,"Baciuty, podlaskie",679000,,3247,5
podlaskie,"Mińce, podlaskie",580900,,5928,4
podlaskie,"Henrykowo, podlaskie",569000,,3671,5
podlaskie,"Bielsk Podlaski, bielski, podlaskie",185000,,4111,2
podlaskie,"Kuriany, podlaskie",495000,,3300,5
podlaskie,"Ciasne, podlaskie",565000,,3613,6
podlaskie,"Osnówka, podlaskie",445000,,3397,4
podlaskie,"Supraśl, podlaskie",469000,,2931,6
podlaskie,"Sobolewo, podlaskie",520000,,3355,5
podlaskie,"Białystok, Jaroszówka, Niemeńska",880000,,3548,6
podlaskie,"Ciasne, podlaskie",565000,,3613,5
podlaskie,"ul. Rybacka, Sobolewo, podlaskie",999000,,7346,4
podlaskie,"Białystok, Dojlidy, Kaktusowa",449000,,6368,4
podlaskie,"Białystok, Dziesięciny",840000,,3532,7
podlaskie,"Białystok, Bagnówka, ul. Józefa Karola Puchalskiego",414000,,6769,3
podlaskie,"Trześcianka, podlaskie",210000,,1909,1
podlaskie,"Kuriany, podlaskie",499000,,3305,5
podlaskie,"Białystok, Dojlidy, Jaskółcza",495000,,3867,4
podlaskie,"Kaniuki, podlaskie",349000,,5369,3
podlaskie,"Białystok, Dojlidy Górne",699000,,5924,4
podlaskie,"ul. Zastawie I, Choroszcz, podlaskie",590000,,4214,5
podlaskie,"ul. Zaczerlańska, Choroszcz, białostocki, podlaskie",1250000,,7353,5
podlaskie,"Ciasne, podlaskie",1335000,,5385,5
podlaskie,"Dziadkowice, siemiatycki, podlaskie",450000,,2500,7
podlaskie,"Grabówka, białostocki, podlaskie",1049000,,8815,4
podlaskie,"Brzeziny-Janowięta, podlaskie",260000,,1182,5
podlaskie,"Osowicze, podlaskie",595000,,2680,4
podlaskie,"Białogóry, podlaskie",1500000,,5769,10
podlaskie,"Lewickie-Stacja, podlaskie",750000,,2830,7
podlaskie,"ul. Zaszkolna, Siemiatycze, podlaskie",203838.67,,815,5
podlaskie,"Tarnopol, podlaskie",450000,,1406,8
podlaskie,"Białystok, Bagnówka",530000,,3860,5
podlaskie,"Henrykowo, podlaskie",1290000,,7355,3
podlaskie,"Skrybicze, podlaskie",450000,,2885,5
podlaskie,"Grabówka, podlaskie",615000,,4767,3
podlaskie,"ul. Niemeńska, Białystok, podlaskie",490000,,4245,4
podlaskie,"Białystok, Bagnówka, ul. Jana Krzysztofa Kluka",665000,,4126,5
podlaskie,"Białystok, Bagnówka, Wiktora Wołkowa",670000,,4010,4
podlaskie,"Jeżynowa, Grabówka, podlaskie",469000,,6253,4
podlaskie,"Osiedlowa, Solniczki, podlaskie",1790000,,9421,5
podlaskie,"ul. Dębowa, Jurowce, podlaskie",759000,,4491,5
podlaskie,"Białystok, Dojlidy Górne",739000,,4709,5
podlaskie,"Białystok, Dojlidy Górne, ul. Nagietkowa",650000,,4633,4
podlaskie,"Sosnowa 7a, Dobrzyniewo Duże, podlaskie",690000,,4182,4
podlaskie,"Porosły-Kolonia, podlaskie",499999,,3125,5
podlaskie,"Zawady, podlaskie",890000,,5086,5
podlaskie,"Siemiatycze, siemiatycki, podlaskie",39900,,279,6
podlaskie,"Mężenin, podlaskie",320000,,4000,3
podlaskie,"Sokółka, podlaskie",275000,,2455,2
