obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
slaskie,"al. Legionów, Bytom, śląskie",270000,87,3103,3
slaskie,"Krasickiego, Dąbrowa Górnicza, śląskie",269000,39.9,6742,2
slaskie,"Rybnik, Boguszowice",250000,45.23,5527,2
slaskie,"Czeladź, Centrum, ul. Miasta Auby",258000,39.98,6453,2
slaskie,"Karola Olszewskiego 2, Jaworzno, śląskie",315000,68,4632,3
slaskie,"Ruda Śląska, Nowy Bytom",235000,45.8,5131,2
slaskie,"Dąbrowa Górnicza, Gołonóg",249000,52.6,4734,2
slaskie,"Sosnowiec, Środula",299000,59.3,5042,3
slaskie,"Jaworzno, śląskie",220000,40,5500,2
slaskie,"Jaworzno, śląskie",248000,48.6,5103,2
slaskie,"Mysłowice, Centrum, Mikołowska",329000,73,4507,4
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, Muchowiec, Francuska",499000,43.1,11578,2
slaskie,"Bytom, Śródmieście, Plac Wojska Polskiego",219000,52.8,4148,3
slaskie,"Boliny, Mysłowice, śląskie",229000,63.9,3584,2
slaskie,"ul. Karola Szymanowskiego, Jaworzno, śląskie",210000,37.88,5544,1
slaskie,"Katowice, Dąbrówka Mała",259000,38,6816,1
slaskie,"Ruda Śląska, Halemba, ul. Solidarności",265000,46,5761,3
slaskie,"Wisła, śląskie",570000,53,10755,2
slaskie,"Sosnowiec, Centrum, ul. Akacjowa",275000,61.79,4451,3
slaskie,"Sosnowiec, Śródmieście, ul. Hanki Ordonówny",435000,108.78,3999,3
slaskie,"Sosnowiec, Dębowa Góra",289000,46.03,6279,3
slaskie,"Katowice, Śródmieście",429000,60,7150,4
slaskie,"Katowice, Centrum, ul. Zabrska",275000,25.68,10709,1
slaskie,"Zabrze, Centrum, ul. gen. Charlesa de Gaulle'a",249000,50,4980,2
slaskie,"ul. Bolesława Prusa, Bytom, śląskie",390000,150.62,2589,5
slaskie,"Gliwice, Kopernika, ul. Mikołaja Kopernika",310000,59,5254,3
slaskie,"Mysłowice, śląskie",129000,26.5,4868,1
slaskie,"Ruda Śląska, Godula, ul. Heleny Modrzejewskiej",287000,48,5979,3
slaskie,"Ruda Śląska, Wirek, ul. Obrońców Westerplatte",204000,47,4340,2
slaskie,"Zabrze, Mikulczyce, ul. Tarnopolska",269000,90.3,2979,3
slaskie,"Siemianowice Śląskie, Bytków, ul. Grunwaldzka",595000,78,7628,3
slaskie,"Jaworzno, Centrum, ul. Jana Matejki",309000,50.2,6155,2
slaskie,"Zabrze, Centrum, ul. gen. Zygmunta Padlewskiego",239000,44,5432,2
slaskie,"Katowice, śląskie",289900,30.02,9657,2
slaskie,"ul. Halna, Szczyrk, śląskie",894600,63.9,14000,3
slaskie,"Gliwice, Zatorze, ul. Spółdzielcza",179999,34,5294,2
slaskie,"ul. Stanisława Wyspiańskiego, Gliwice, śląskie",390000,48,8125,2
slaskie,"Katowice, Śródmieście, Zabrska",557436,42.23,13200,2
slaskie,"Katowice, Śródmieście, Zabrska",395921,35.83,11050,2
slaskie,"Bielsko-Biała, śląskie",399000,55,7255,3
slaskie,"Katowice, Śródmieście",321000,25.68,12500,1
slaskie,"Katowice, Śródmieście, Zabrska",484428,44.24,10950,2
slaskie,"Katowice, Śródmieście, Zabrska",484428,44.24,10950,2
slaskie,"Gliwice, śląskie",258000,53.5,4822,3
slaskie,"Rybnik, śląskie",189000,37,5108,2
slaskie,"Chorzów, Batory",235000,48,4896,3
slaskie,"ul. Koszalińska, Sosnowiec, śląskie",,45.79,,2
slaskie,"ul. Koszalińska, Sosnowiec, śląskie",,76.83,,4
slaskie,"Mysłowice, Centrum",265000,38,6974,2
slaskie,"Katowice, Brynów-Zgrzebnioka, Brynów, ul. Władysława Orkana",599000,62.96,9514,2
slaskie,"Katowice, Osiedle Tysiąclecia, ul. Ułańska",530000,74.2,7143,4
slaskie,"Żory, śląskie",325000,56,5804,3
slaskie,"Sosnowiec, Zagórze, ul. Stefana Kisielewskiego",410000,69.5,5899,3
slaskie,"ul. gen. Charlesa de Gaulle'a 109, Zabrze, śląskie",254500,47.6,5347,3
slaskie,"ul. ks. bp. Herberta Bednorza, Pszczyna, śląskie",379900,56.7,6700,4
slaskie,"Katowice, Centrum, Góreckiego",685000,42.63,16068,2
slaskie,"Bytom, Karb, ul. Braci Śniadeckich",209000,62.21,3360,3
slaskie,"Częstochowa, Grabówka, ul. Bialska",623000,67.26,9263,3
slaskie,"Mikołów, Gniotek, ul. Podleska 50d",399000,35.26,11316,2
slaskie,"Ruda Śląska, Ruda",700000,67.61,10353,3
slaskie,"Jaworzno, Śródmieście, Os. Leopold, ul. Grunwaldzka",209000,38,5500,2
slaskie,"ul. ks. Włodzimierza Sedlaka, Sosnowiec, śląskie",414000,62.24,6652,3
slaskie,"ul. ks. Włodzimierza Sedlaka, Sosnowiec, śląskie",455000,72.47,6278,4
slaskie,"ul. ks. Włodzimierza Sedlaka, Sosnowiec, śląskie",215000,26.84,8010,1
